category,label,agent,text,text_coref,segmentation,episode,podcast,pod_cat,language,ClaimBuster,ClaimBuster COREF,Motivation,ClaimSpan
Not Checkworthy,Not a Claim,Tobias Tykvart,"Ja, also wenn man das jetzt mal rein wirtschaftlich betrachtet, kostet das unter Umständen ja Milliarden an militärischen Verlusten für die Ukraine.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Emotions and Opinions,gautek,"Og så er det et år siden Juvalde, skoleskytingen som vi også har snakket om tidligere, som jo fikk veldig store overskifter fordi det var så små barn.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Je nachdem, wie gut ist der russischen Seite gelingt durch diese Informationen jetzt tatsächlich, sich darauf einzustellen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Das sollte man, glaube ich, nicht aus dem Blick verlieren.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Das kann gravierende Folgen haben.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Das bringt uns zum nächsten Thema, nämlich zur militärischen Situation in der Ukraine.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,Tobias Tykvart,"Da ist ja so, dass die Winteroffensive der Russen gescheitert ist.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Confirm True,"[{""start"":0,""end"":66}]"
Not Checkworthy,Emotions and Opinions,Tobias Tykvart,Da gibt es eigentlich keinen großen Streit drüber.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Die haben bisher nicht mal Bachmut richtig einnehmen können.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Es sind Zehntausende Menschen gestorben, auf beiden Seiten fast ohne Landgewinne.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Also es gab irgendwo im Netz, habe ich so eine Animation gesehen, vor dieser Winteroffensive, nach dieser Winteroffensive.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Und die Veränderung der Frontlinie kann man fast nicht erkennen.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Also das ist marginal, wie sich da die Frontlinie nach Westen verschoben hat.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,Tobias Tykvart,Die Offensive der Russen ist nun also gescheitert.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Confirm True,"[{""start"":0,""end"":50}]"
Not Checkworthy,Not a Claim,Tobias Tykvart,Und jetzt warten alle auf die ukrainische Gegenoffensive.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Denn klar ist, sie könnte, wenn sie gelingt, einen Wendepunkt in diesem Krieg darstellen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Emotions and Opinions,Tobias Tykvart,Darüber herrscht auch Einigkeit.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,gautek,"Ja, og Texas har jo helt klart et ganske betydelig problem her.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Aber die Erfolgsaussichten einer solchen Offensive werden doch sehr unterschiedlich beurteilt.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,gautek,Det var den delstaten i USA som hadde flest masseskytinger i fjor.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Checkworthy,Factual Descriptions,Tobias Tykvart,"Die USA jedenfalls schätzten die Chancen für die ukrainische Seite vor etwa sechs Wochen, Anfang März, als überaus schwierig ein.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Learn More,"[{""start"":0,""end"":129}]"
Not Checkworthy,Not a Claim,gautek,"Seks masseskytinger, har hatt tre allerede i år.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Checkworthy,Factual Descriptions,gautek,Og de har altså enormt mange dødsfall på grunn av våpen.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Checkworthy,Factual Descriptions,gautek,De hadde altså i 2021 4.600 dødsfall som var relatert til skytevåpen.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Checkworthy,Factual Descriptions,Tobias Tykvart,"Jedenfalls auf der Grundlage dieser Leaks wiederum soll die Einschätzung so gewesen sein, dass es der ukrainischen Seite für einen groß angelegten Angriff nach amerikanischer Einschätzung an Kraft und Durchhaltefähigkeit fehle.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Learn More,"[{""start"":0,""end"":227}]"
Not Checkworthy,Not a Claim,Tobias Tykvart,"Und natürlich ist jetzt klar, dass diese Frühjahrsoffensive durch das Informationslack überdies weiterhin gefährdet worden sein kann.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Einfach weil die Vorbereitungen der Ukraine dadurch öffentlich geworden sind.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Und klar, Russland könnte jetzt versuchen, zum Beispiel die Quartiere der federführenden Einheiten zu bombardieren.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,gautek,Det inkluderer jo også selvmord da.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Umso mehr als eben die Ukraine, wiederum gemäß dieser Leaks, die da aufgetaucht sind.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,gautek,Men det er opp fra 2.800,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Checkworthy,Factual Descriptions,Tobias Tykvart,"Weil der Ukraine eben die Munition, vor allen Dingen für die Luftabwehr, in diesen Tagen auszugehen droht.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Learn More,"[{""start"":0,""end"":106}]"
Not Checkworthy,Not a Claim,gautek,i 2014.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,Så det er jo nesten en dobling.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,Så de har en kurve som peker i en veldig urovekkende retning.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Also Luftabwehr, Verteidigungswaffen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Da herrscht wohl laut dieser Leaks ein doch erheblicher Mangel, der der Ukraine den Krieg, den Sieg sozusagen kosten könnte.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Angeblich reichten die Vorräte der Verteidigungswaffen bis Anfang Mai nur noch.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Und wenn halt die Ukraine diese Lücke nicht stopfen könne, könnte Russland dann eben doch mit Kampfjets die Lufthoheit gewinnen und dann eben Ziele nach Belieben angreifen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Und das ist die weitere Prognose.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Die erwartete Frühjahrsoffensive werde dementsprechend nur zu sehr bescheidenen Geländegewinnen führen.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Cause and Effect,gautek,Og noen relaterer jo dette også til de veldig liberale våpenlovene som guvernør Greg Abbott har vært med å innføre.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Checkworthy,Factual Descriptions,gautek,Blant annet at du kan gå rundt i Texas nå uten å ha bæretplass for våpen.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Das ist also die Einschätzung wohl der USA, die aus diesen Leaks herauslesbar ist.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Genau, das soll insbesondere beruhen auf Docs dieser Defense Intelligence Agency, einem der zahlreichen amerikanischen Geheimdienste.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,gautek,"Altså du kan bære våpen når du vil, hvem som vil, uten å søke om plass for det.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Not Checkworthy,Not a Claim,Tobias Tykvart,Wesentlich optimistischer allerdings sieht die Süddeutsche Zeitung die militärische Lage für die Ukraine.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Sie malt also da ein doch relativ positives Bild und beruft sich skurrilerweise ebenfalls auf einen US-Militär.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Emotions and Opinions,gautek,"Ja, det er innført noe som heter Permitless Carry som har blitt den siste nye hotte-tingen på høyre siden i USA som du må innføre hvis du er en ordentlig konservativ stat.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Ich glaube, vielleicht war es ein ehemaliger, aber ja.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Emotions and Opinions,gautek,"Som ja, du trenger ikke sertifikat eller godkjenning lenger.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Und das zentrale Argument, das die Süddeutsche Zeitung stark macht, ist der enorme Verschleiß an Menschenwaffen bei den Russen und eben auch die sehr schlechte Kampfmoral der Russen, die einfach überhaupt nicht wissen, wofür sie eigentlich kämpfen sollen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,gautek,Og vi ser flere og flere stater som Texas innfører sånn Permitless Carry.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Besonders forscht äußert sich in diese Richtung oder hat sich geäußert Markus Keup, der ist Ökonom an der Militärakademie der Eidgenössisch-Technischen Hochschule in Zürich.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,gautek,Og de senkte vel også alderen fra 2011 til da våpen skjør på.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Das ist schon mal ein Statement.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,gautek,"De liberaliserte våpene, om det var rett før eller rett etter Giovaldi i fjor.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,Das ist ein Statement vor allen Dingen für den Wissenschaftler.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Emotions and Opinions,gautek,Så det har jo ikke noen sånne store konsekvenser politisk i Texas.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Emotions and Opinions,gautek,Republikanerne dundrer på som før.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Checkworthy,Quotation,Tobias Tykvart,"Und er sagt, der Krieg ist im Oktober vorbei.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Controversial,"[{""start"":13,""end"":45}]"
Not Checkworthy,Emotions and Opinions,gautek,Demokraterne er jo harnisk.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Emotions and Opinions,gautek,Vi har sett de er kjempesinte.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Checkworthy,Quotation,Tobias Tykvart,"Ukraine, sagt er, die wird gewinnen.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,Controversial,"[{""start"":0,""end"":36}]"
Not Checkworthy,Not a Claim,Tobias Tykvart,Und das sagte er in einem Interview mit der Neuen Züricher Zeitung und wiederholte das auch noch mal im ZDF.,,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Not Checkworthy,Not a Claim,Tobias Tykvart,"Begründung, der Verschleiß russischer Technik sei einfach gigantisch.",,Factiverse CW/MO/CS,"LdN331 Lage-Buch „Baustellen der Nation“, Cannabis-Legalisierung light, US-Spionage-Leaks, ukrainische Frühjahrsoffensive, Atomausstieg am Samstag, Pflegereform",Lage der Nation - der Politik-Podcast aus Berlin,politics,de-DE,,,,
Checkworthy,Factual Descriptions,gautek,Og det er mye protester og bråk i Texas.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,Learn More,
Not Checkworthy,Emotions and Opinions,gautek,"Men det virker ikke som disse tingene er nok til å si at nei, nå har vi liberalisert nok.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,Nå må vi stramme inn.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Predictions,gautek,Så det tviler jeg på hva som kommer til å skje nå.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,Men det er jo helt ...,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,"Altså, jeg synes dette her er helt vanvittig.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Broadcast Details,gautek,Og jeg så et referat fra delstatsforsamlingen i Texas som diskuterte våpen og våpenlover bare noen timer før dette her skjedde.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Personal Experience,gautek,Og da var det en demokrat som stod og snakket om at nå må vi gjøre noe med alle denne våpenvolden.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Personal Experience,gautek,Da satt republikanerne i den forsamlingen demonstrativt og lo og spøkte og litt sånn høylig.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,Vi hører ikke en gang etter på hva du sier.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Personal Experience,gautek,"Mens demokraten stod og nærmest ropte folk dør, folk blir drept.",,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Emotions and Opinions,gautek,Og vi ser jo at republikanerne bruker en veldig sånn nonchalant og nesten aggressiv måte å debattere dette på.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Broadcast Details,gautek,Vi har snakket om disse julekortene som flere kongressmedlemmer sender ut der hele familien står med sånne semiautomatiske riffler.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Not a Claim,gautek,De har de i kampanjevideoene sine de skyter på targets og så videre.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
Not Checkworthy,Emotions and Opinions,gautek,Og de har gjort det til nærmest en greie da at de gjør humor ut av dette her og latterliggjør de som vil ha strengere lover.,,Factiverse CW/MO/CS,Åpen: Er det på tide å vise bilder fra masseskytinger? – Det som skjer er så sykt,Aftenpodden USA,politics,no,,,,
